text,label
I love this product,positive
This is an amazing experience,positive
I am very happy with the service,positive
The movie was fantastic,positive
I enjoyed the food a lot,positive
This app is very useful,positive
I feel great using this,positive
The quality is excellent,positive
I am satisfied with the result,positive
It works perfectly fine,positive
I hate this product,negative
This is a terrible experience,negative
I am very disappointed,negative
The movie was boring,negative
I did not like the food,negative
This app is useless,negative
I feel bad using this,negative
The quality is poor,negative
I am unhappy with the result,negative
It does not work properly,negative
This product is very bad,negative
I hate this app,negative
This service is terrible,negative
I am not satisfied,negative
